"","x"
"275",338.19
"276",339.44
"277",340.57
"278",341.44
"279",342.53
"280",343.39
"281",343.96
"282",343.18
"283",341.88
"284",339.65
"285",337.81
"286",337.69
"287",339.09
"288",340.32
"289",341.2
"290",342.35
"291",342.93
"292",344.77
"293",345.58
"294",345.14
"295",343.81
"296",342.21
"297",339.69
"298",339.82
"299",340.98
"300",342.82
"301",343.52
"302",344.33
"303",345.11
"304",346.88
"305",347.25
"306",346.62
"307",345.22
"308",343.11
"309",340.9
"310",341.18
"311",342.8
"312",344.04
"313",344.79
"314",345.82
"315",347.25
"316",348.17
"317",348.74
"318",348.07
"319",346.38
"320",344.51
"321",342.92
"322",342.62
"323",344.06
"324",345.38
"325",346.11
"326",346.78
"327",347.68
"328",349.37
"329",350.03
"330",349.37
"331",347.76
"332",345.73
"333",344.68
"334",343.99
"335",345.48
"336",346.72
"337",347.84
"338",348.29
"339",349.23
"340",350.8
"341",351.66
"342",351.07
"343",349.33
"344",347.92
"345",346.27
"346",346.18
"347",347.64
"348",348.78
"349",350.25
"350",351.54
"351",352.05
"352",353.41
"353",354.04
"354",353.62
"355",352.22
"356",350.27
"357",348.55
"358",348.72
"359",349.91
"360",351.18
"361",352.6
"362",352.92
"363",353.53
"364",355.26
"365",355.52
"366",354.97
"367",353.75
"368",351.52
"369",349.64
"370",349.83
"371",351.14
"372",352.37
"373",353.5
"374",354.55
"375",355.23
"376",356.04
"377",357
"378",356.07
"379",354.67
"380",352.76
"381",350.82
"382",351.04
"383",352.69
"384",354.07
"385",354.59
"386",355.63
"387",357.03
"388",358.48
"389",359.22
"390",358.12
"391",356.06
"392",353.92
"393",352.05
"394",352.11
"395",353.64
"396",354.89
"397",355.88
"398",356.63
"399",357.72
"400",359.07
"401",359.58
"402",359.17
"403",356.94
"404",354.92
"405",352.94
"406",353.23
"407",354.09
"408",355.33
"409",356.63
"410",357.1
"411",358.32
"412",359.41
"413",360.23
"414",359.55
"415",357.53
"416",355.48
"417",353.67
"418",353.95
"419",355.3
"420",356.78
"421",358.34
"422",358.89
"423",359.95
"424",361.25
"425",361.67
"426",360.94
"427",359.55
"428",357.49
"429",355.84
"430",356
"431",357.59
"432",359.05
"433",359.98
"434",361.03
"435",361.66
"436",363.48
"437",363.82
"438",363.3
"439",361.94
"440",359.5
"441",358.11
"442",357.8
"443",359.61
"444",360.74
"445",362.09
"446",363.29
"447",364.06
"448",364.76
"449",365.45
"450",365.01
"451",363.7
"452",361.54
"453",359.51
"454",359.65
"455",360.8
"456",362.38
"457",363.23
"458",364.06
"459",364.61
"460",366.4
"461",366.84
"462",365.68
"463",364.52
"464",362.57
"465",360.24
"466",360.83
"467",362.49
"468",364.34
