Name,Priority,Status,Agency,Contact,Parameter(s),Classification,Temporal range,Start,End,Sampling frequency,Published Data,Links,,,,,,Notes
Yolo Bypass Fish Monitoring Program - Fish,,"Repository, by request for ichthyoplankton and later years",DWR,Catarina Pien,"Fish (adult, larval, some diet, genetics), water quality",Fish,1998-present,1998,2021,"Daily Jan-June adult, every 2 weeks ichthyoplankton",https://portal.edirepository.org/nis/mapbrowse?scope=edi&identifier=233&revision=2,Fish data publication,,,,,,
Suisun Marsh Fish Study,,Request,UC Davis,Teejay O'Rear,"Fish, water quality",Fish,1980-present,1980,2021,Monthly,https://watershed.ucdavis.edu/project/suisun-marsh-fish-study,Overview,,,,,,
Smelt Larval Survey,,Repository,CDFW,,"Fish, water quality",Fish,"2009-present, Jan to March",2009,2021,Twice monthly,https://portal.edirepository.org/nis/mapbrowse?packageid=edi.534.3,Data Publication,,,,,,
Striped Bass Monitoring,,Request,CDFW,Jim Hobbs,"Fish, mark-recapture",Fish,"1969- present?, Spring",1969,2021,Weekly?,,,,,,,,
Sturgeon Population Study,,Request,CDFW ,Jim Hobbs,"Fish, recapture studies. In addition to SFBS data",Fish,"2005-present, August to November",2005,2021,Weekly ,,,,,,,,
Central Valley lost habitat (from dams),,Request,NOAA,Charleen Gavette,Spatial ,General Habitat,,2021,2021,,https://escholarship.org/uc/item/1ss794fc,Lindley et al. 2006,,,,,,
Yolo Bypass Inundation,,Repository,DWR,Catarina Pien,Inundation,Hydrology,1998-present,1998,2021,Daily,https://portal.edirepository.org/nis/mapbrowse?packageid=edi.840.1,Inundation dataset,,,,,,
USGS flow data,,Website,USGS,Catherine Ruhl,Flow,Hydrology,1990 - present,1990,2021,15-minute,,will add soon,,,,,,
DOR hydrodynamic models,,,DOR,,Hydrodymanic Model,Hydrology,,2021,2021,,,,,,,,,
Dayflow,,Website,DWR,Jeff Galef,"Hydrologic model outputs: inflow, outflow, precipitation, etc.",Hydrology,1955-present,1955,2021,Daily,https://data.cnra.ca.gov/dataset/dayflow,Overview,Data,,,,,
Integrated zooplankton dataset,,Repository,Various,Sam Bashevkin,"Zooplankton, Water quality",Plankton,1972-present,1972,2021,Twice monthly to monthly,https://portal.edirepository.org/nis/mapbrowse?scope=edi&identifier=539,Shiny app,R Package,Data publication,,,,"Includes EMP, FMWT, STN, 20mm, and FRP zooplankton data"
Environmental Monitoring Program Zooplankton,,Repository,"CDFW, DWR",Arthur Barros,Zooplankton,Plankton,1972-present,1972,2021,Monthly,https://portal.edirepository.org/nis/mapbrowse?scope=edi&identifier=522,Zooplankton,Zooplankton data publication,,,,,
Environmental Monitoring Program Phytoplankton,5,Website,DWR,Tiffany Brown,Phytoplankton,Plankton,1972-present,1972,2021,Monthly,https://emp.baydeltalive.com/projects/11282,Phytoplankton,,,,,,
Yolo Bypass FMP - Lower Trophic,,"Repository, by request for phytoplankton, nutrients, later years",DWR,Catarina Pien,"water quality, zooplankton, insects, phytoplankton",Plankton,1998-present,1998,2021,Twice monthly (approx),https://portal.edirepository.org/nis/mapbrowse?packageid=edi.818.3,Zooplankton data publication,Drift Invertebrate publication,,,,,
USFWS Liberty Island zooplankton,,,USFWS,,Zooplankton,Plankton,,2021,2021,,,,,,,,,
Aquatic vegetation cover ,1,,"CDFW, UCD",,"Vegetation cover, floating and submerged",Vegetation,,2021,2021,Annual,https://deltacouncil.sharepoint.com/:f:/r/sites/Extranet-Science/Shared%20Documents/NCEAS-DSP%20working%20group/data/vegetation_cover/Aquatic%20Vegetation%20Classification%20Layers?csf=1&web=1&e=RifAZB,,,,,,,
Vegetation Cover,4,,CDFW,,"Vegetation cover, terrestrial, wetland, riparian",Vegetation,"2007, 2016 (Delta); 2012, 2015 (Suisun)",2007,2016,Intermittent,https://deltacouncil.sharepoint.com/:f:/r/sites/Extranet-Science/Shared%20Documents/NCEAS-DSP%20working%20group/data/vegetation_cover/Delta%20Ecosystems--Unleveed?csf=1&web=1&e=fS9P3c,,Data (Delta),Data (Suisun),,,,
Integrated water quality dataset,,Repository,Various,Sam Bashevkin,Water quality,Water Quality,1959-present,1959,2021,Various,https://portal.edirepository.org/nis/mapbrowse?scope=edi&identifier=731&revision=1,Data publication,R Package,,,,,"Includes EMP, FMWT, STN, 20mm, SKT, Bay Study, DJFMP, EDSM, USBR surveys, UCD Suisun Study, and USGS SF Bay data"
EMP Water Quality,,Repository,DWR,Morgan Martinez,Water quality,Water Quality,1972-present,1972,2021,Monthly,https://portal.edirepository.org/nis/mapbrowse?scope=edi&identifier=458,Water quality,Water quality data publication,,,,,
USGS SF Bay Water Quality Surveys,,Repository,USGS,Tara Schraga,"Water quality, nutrients, phytoplankton",Water Quality,1969-present?,1969,2021,At least monthly,https://www.sciencebase.gov/catalog/item/5966abe6e4b0d1f9f05cf551,Overview,Data paper,Water quality 2016-present,Water quality 1969-2015,Phytoplankton 1992-2014,Phytoplankton 2014-present,
USGS WQ data,,Website,USGS,Elizabeth Stumpner,"15-minute water-quality, discrete Chl-a and dissolved nutrients",Water Quality,2014(ish) - present,2014,2021,15-minute,,will add soon,,,,,,
Integrated water temperature dataset,,Repository,Various,Catarina Pien,Water temperature (continuous),Water Temperature,1986-2019,1986,2019,Hourly,https://portal.edirepository.org/nis/mapbrowse?packageid=edi.591.2,Water temperature,,,,,,
